Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
UnderSampling,7.084661707403373E-4,BOOKKEEPER,0.09018567639257294,2.0,341.0,NaiveBayes,2.0,0.20347394540942929,0.6160224780701754,false,false,0.1488833746898263,0.04748603351955307,0.8880208333333334,0.16837782340862423,43.0,0.8947368421052632,0.547191011235955,17.0,0.8947368421052632,3.0
UnderSampling,-0.0031376158303179007,BOOKKEEPER,0.07751937984496124,14.0,105.0,IBk,2.0,0.20347394540942929,0.49773848684210525,false,false,0.7047146401985112,0.045454545454545456,0.2734375,0.16837782340862423,279.0,0.2631578947368421,0.547191011235955,5.0,0.2631578947368421,3.0
UnderSampling,0.02670568018206321,BOOKKEEPER,0.10344827586206896,13.0,91.0,RandomForest,2.0,0.20347394540942929,0.6506990131578947,false,false,0.7419354838709676,0.061855670103092786,0.23697916666666666,0.16837782340862423,293.0,0.3157894736842105,0.547191011235955,6.0,0.3157894736842105,3.0
UnderSampling,0.2558448964075263,BOOKKEEPER,0.28571428571428564,8.0,7.0,NaiveBayes,1.0,0.2720306513409962,0.5841818181818181,false,false,0.9425287356321839,0.3,0.028,0.31555555555555553,243.0,0.2727272727272727,0.46296296296296297,3.0,0.2727272727272727,2.0
UnderSampling,0.03411102172164111,BOOKKEEPER,0.1038961038961039,7.0,62.0,IBk,1.0,0.2720306513409962,0.5527272727272727,false,false,0.735632183908046,0.06060606060606061,0.248,0.31555555555555553,188.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
UnderSampling,0.01595679988324293,BOOKKEEPER,0.09356725146198831,3.0,152.0,RandomForest,1.0,0.2720306513409962,0.5729090909090909,false,false,0.4061302681992337,0.05,0.608,0.31555555555555553,98.0,0.7272727272727273,0.46296296296296297,8.0,0.7272727272727273,2.0
UnderSampling,0.24832496379214652,BOOKKEEPER,0.3354037267080745,13.0,94.0,NaiveBayes,4.0,0.2774566473988439,0.7964770354906054,false,false,0.79383429672447,0.2231404958677686,0.19624217118997914,0.10271041369472182,385.0,0.675,0.7298282144716294,27.0,0.675,5.0
UnderSampling,0.10469681004820812,BOOKKEEPER,0.21940928270042193,14.0,171.0,IBk,4.0,0.2774566473988439,0.6465031315240084,false,false,0.6435452793834296,0.1319796954314721,0.3569937369519833,0.10271041369472182,308.0,0.65,0.7298282144716294,26.0,0.65,5.0
UnderSampling,0.14475113291637023,BOOKKEEPER,0.2542372881355932,10.0,166.0,RandomForest,4.0,0.2774566473988439,0.7691805845511482,false,false,0.6608863198458574,0.15306122448979592,0.3465553235908142,0.10271041369472182,313.0,0.75,0.7298282144716294,30.0,0.75,5.0
OverSampling,0.22388059701492535,BOOKKEEPER,0.70926517571885,25.0,339.0,NaiveBayes,3.0,0.2,0.7883352048772282,false,false,0.6119402985074627,0.5670498084291188,0.7228144989339019,0.11447811447811448,130.0,0.9466950959488273,0.6359743040685225,444.0,0.9466950959488273,4.0
