@relation Train-2-OPENJPA

@attribute Version numeric
@attribute NR numeric
@attribute Size numeric
@attribute 'AVG LOC Added' numeric
@attribute Churn numeric
@attribute 'LOC Added' numeric
@attribute Nauth numeric
@attribute 'Weighted Age' numeric
@attribute 'AVG CHURN' numeric
@attribute 'MAX LOC Added' numeric
@attribute 'LOC TOUCHED' numeric
@attribute Age numeric
@attribute 'Max Churn' numeric
@attribute Buggyness {false,true}

@data
1,4,85,24,85,97,2,13,21,86,109,13,86,false
1,2,163,81,163,163,1,13,81,163,163,13,163,false
1,6,317,109,317,658,2,13,53,314,999,13,308,false
1,2,29,14,29,29,1,13,14,29,29,13,29,false
1,4,406,200,406,802,1,13,101,407,1198,13,385,false
1,4,27,13,27,52,1,13,6,27,77,13,23,false
1,3,602,201,602,604,1,13,200,601,606,13,601,false
1,3,130,43,130,131,2,13,43,124,132,13,124,false
1,4,56,27,56,108,1,13,14,56,160,13,49,false
1,5,137,57,137,285,1,13,27,140,433,13,132,false
1,3,376,140,376,420,1,13,125,384,464,13,384,false
1,3,2053,685,2053,2056,2,13,684,2053,2059,13,2053,false
1,5,42,16,42,82,2,13,8,41,122,13,37,false
1,5,47,12,47,64,1,13,9,48,81,13,48,false
1,6,127,34,127,204,1,13,21,146,281,13,146,false
1,2,40,20,40,40,1,13,20,40,40,13,40,false
1,5,63,28,63,140,2,13,12,68,217,13,65,false
1,4,55,16,55,64,2,13,13,57,73,13,57,false
1,6,227,56,227,338,1,13,38,263,449,13,263,false
1,5,654,288,654,1444,1,13,130,723,2234,13,649,false
1,4,34,16,34,67,1,13,8,34,100,13,31,false
1,4,89,44,89,179,1,13,22,90,269,13,85,false
1,5,166,38,166,193,2,13,33,163,220,13,163,false
1,2,110,55,110,110,1,13,55,110,110,13,110,false
1,4,31,14,31,59,1,13,7,31,87,13,27,false
1,6,196,65,196,392,2,13,32,197,588,13,191,false
1,6,69,24,69,145,2,13,11,71,221,13,64,false
1,4,63,30,63,123,1,13,15,63,183,13,58,false
1,3,278,93,278,281,1,13,92,281,284,13,281,false
1,5,105,31,105,159,1,13,21,121,213,13,121,false
1,4,37,18,37,74,1,13,9,37,111,13,34,false
1,3,76,29,76,89,1,13,25,53,102,13,49,false
1,5,115,32,115,161,1,13,23,135,207,13,135,false
1,3,45,16,45,49,2,13,15,49,53,13,49,false
1,5,30,11,30,57,2,13,6,26,84,13,23,false
1,5,54,23,54,117,2,13,10,56,180,13,52,false
1,2,135,67,135,135,1,13,67,135,135,13,135,false
1,5,426,170,426,851,1,13,85,428,1276,13,412,false
